utc_iso,sun_az_deg_from_north,sun_el_deg
2026-05-17T14:30:00Z,253.8188,31.1837
2026-05-17T14:40:00Z,256.183,29.9955
2026-05-17T14:50:00Z,258.5107,28.7954
2026-05-17T15:00:00Z,260.805,27.5855
2026-05-17T15:10:00Z,263.0687,26.3679
2026-05-17T15:20:00Z,265.3046,25.1446
2026-05-17T15:30:00Z,267.5156,23.9175
2026-05-17T15:40:00Z,269.7042,22.6886
2026-05-17T15:50:00Z,271.8731,21.4597
2026-05-17T16:00:00Z,274.0248,20.2325
2026-05-17T16:10:00Z,276.1616,19.0089
2026-05-17T16:20:00Z,278.2859,17.7906
2026-05-17T16:30:00Z,280.3999,16.5793
2026-05-17T16:40:00Z,282.5058,15.3767
2026-05-17T16:50:00Z,284.6056,14.1846
2026-05-17T17:00:00Z,286.7012,13.0046
2026-05-17T17:10:00Z,288.7946,11.8385
2026-05-17T17:20:00Z,290.8876,10.6882
2026-05-17T17:30:00Z,292.9817,9.5555
2026-05-17T17:40:00Z,295.0788,8.4424
2026-05-17T17:50:00Z,297.1801,7.351
2026-05-17T18:00:00Z,299.2873,6.2838
2026-05-17T18:10:00Z,301.4017,5.2434
2026-05-17T18:20:00Z,303.5244,4.2339
2026-05-17T18:30:00Z,305.6567,3.2603
2026-05-17T18:40:00Z,307.7995,2.3271
2026-05-17T18:50:00Z,309.9538,1.4432
2026-05-17T19:00:00Z,312.1205,0.6194
2026-05-18T01:50:00Z,46.7629,0.2805
2026-05-18T02:00:00Z,48.934,1.0746
2026-05-18T02:10:00Z,51.0924,1.9341
2026-05-18T02:20:00Z,53.2387,2.8476
2026-05-18T02:30:00Z,55.374,3.805
2026-05-18T02:40:00Z,57.4992,4.7997
2026-05-18T02:50:00Z,59.6153,5.8283
2026-05-18T03:00:00Z,61.7237,6.8851
2026-05-18T03:10:00Z,63.8255,7.9672
2026-05-18T03:20:00Z,65.9222,9.0721
2026-05-18T03:30:00Z,68.0153,10.1977
2026-05-18T03:40:00Z,70.1063,11.3418
2026-05-18T03:50:00Z,72.1968,12.5026
2026-05-18T04:00:00Z,74.2887,13.6782
2026-05-18T04:10:00Z,76.3838,14.8669
2026-05-18T04:20:00Z,78.4839,16.0669
2026-05-18T04:30:00Z,80.5912,17.2764
2026-05-18T04:40:00Z,82.7076,18.4939
2026-05-18T04:50:00Z,84.8354,19.7176
2026-05-18T05:00:00Z,86.9769,20.9457
2026-05-18T05:10:00Z,89.1345,22.1765
2026-05-18T05:20:00Z,91.3105,23.4083
2026-05-18T05:30:00Z,93.5076,24.6392
2026-05-18T05:40:00Z,95.7283,25.8674
2026-05-18T05:50:00Z,97.9755,27.091
2026-05-18T06:00:00Z,100.2518,28.3079
2026-05-18T06:10:00Z,102.5603,29.5162
2026-05-18T06:20:00Z,104.9039,30.7137
2026-05-18T06:30:00Z,107.2855,31.8983
2026-05-18T06:40:00Z,109.7082,33.0676
2026-05-18T06:50:00Z,112.1752,34.2192
2026-05-18T07:00:00Z,114.6894,35.3507
2026-05-18T07:10:00Z,117.254,36.4594
2026-05-18T07:20:00Z,119.8718,37.5427
2026-05-18T07:30:00Z,122.5458,38.5977
2026-05-18T07:40:00Z,125.2786,39.6214
2026-05-18T07:50:00Z,128.0727,40.6109
2026-05-18T08:00:00Z,130.9301,41.5629
2026-05-18T08:10:00Z,133.8526,42.4742
2026-05-18T08:20:00Z,136.8414,43.3416
2026-05-18T08:30:00Z,139.8972,44.1615
2026-05-18T08:40:00Z,143.0199,44.9307
2026-05-18T08:50:00Z,146.2088,45.6456
2026-05-18T09:00:00Z,149.4623,46.303
2026-05-18T09:10:00Z,152.7776,46.8996
2026-05-18T09:20:00Z,156.1512,47.4323
2026-05-18T09:30:00Z,159.5785,47.8981
2026-05-18T09:40:00Z,163.0538,48.2944
2026-05-18T09:50:00Z,166.5704,48.6187
2026-05-18T10:00:00Z,170.1209,48.8691
2026-05-18T10:10:00Z,173.6969,49.0441
2026-05-18T10:20:00Z,177.2895,49.1424
2026-05-18T10:30:00Z,180.8893,49.1635
2026-05-18T10:40:00Z,184.487,49.1073
2026-05-18T10:50:00Z,188.0731,48.974
2026-05-18T11:00:00Z,191.6384,48.7646
2026-05-18T11:10:00Z,195.1742,48.4803
2026-05-18T11:20:00Z,198.6726,48.1231
2026-05-18T11:30:00Z,202.1265,47.6951
2026-05-18T11:40:00Z,205.5297,47.1988
2026-05-18T11:50:00Z,208.8769,46.6369
2026-05-18T12:00:00Z,212.1641,46.0126
2026-05-18T12:10:00Z,215.3881,45.329
2026-05-18T12:20:00Z,218.5467,44.5895
2026-05-18T12:30:00Z,221.6387,43.7974
2026-05-18T12:40:00Z,224.6636,42.9562
2026-05-18T12:50:00Z,227.6219,42.0692
2026-05-18T13:00:00Z,230.5143,41.1398
2026-05-18T13:10:00Z,233.3424,40.1713
2026-05-18T13:20:00Z,236.1082,39.1669
2026-05-18T13:30:00Z,238.8138,38.1297
2026-05-18T13:40:00Z,241.4618,37.0627
2026-05-18T13:50:00Z,244.0551,35.9689
2026-05-18T14:00:00Z,246.5964,34.8509
2026-05-18T14:10:00Z,249.0888,33.7115
2026-05-18T14:20:00Z,251.5354,32.5532
2026-05-18T14:30:00Z,253.9393,31.3784
2026-05-18T14:40:00Z,256.3034,30.1896
2026-05-18T14:50:00Z,258.6309,28.9888
2026-05-18T15:00:00Z,260.9247,27.7784
2026-05-18T15:10:00Z,263.1878,26.5604
2026-05-18T15:20:00Z,265.423,25.3368
2026-05-18T15:30:00Z,267.6331,24.1095
2026-05-18T15:40:00Z,269.8207,22.8805
2026-05-18T15:50:00Z,271.9885,21.6515
2026-05-18T16:00:00Z,274.1389,20.4244
2026-05-18T16:10:00Z,276.2744,19.201
2026-05-18T16:20:00Z,278.3973,17.9829
2026-05-18T16:30:00Z,280.5098,16.7719
2026-05-18T16:40:00Z,282.6141,15.5696
